streamer,twitch_profile,partner,language
criticalrole,https://www.twitch.tv/criticalrole,yes,English
skyrroztv,https://www.twitch.tv/skyrroztv,yes,French
t90official,https://www.twitch.tv/t90official,yes,English
valorant_esports_eu,https://www.twitch.tv/valorant_esports_eu,yes,English
chocotaco,https://www.twitch.tv/chocotaco,yes,English
boltz,https://www.twitch.tv/boltz,yes,Portuguese
jungtaejune,https://www.twitch.tv/jungtaejune,yes,Korean
barbarousking,https://www.twitch.tv/barbarousking,yes,English
mrsavage,https://www.twitch.tv/mrsavage,yes,English
dariomocciatwitch,https://www.twitch.tv/dariomocciatwitch,yes,Italian
crokeyz,https://www.twitch.tv/crokeyz,yes,English
velloso,https://www.twitch.tv/velloso,yes,Portuguese
c9judite,https://www.twitch.tv/c9judite,yes,Portuguese
midbeast,https://www.twitch.tv/midbeast,yes,English
reventxz,https://www.twitch.tv/reventxz,yes,Spanish
bystaxx,https://www.twitch.tv/bystaxx,yes,Spanish
never_loses,https://www.twitch.tv/never_loses,yes,Chinese
twlevewinshs,https://www.twitch.tv/twlevewinshs,yes,English
duendepablo,https://www.twitch.tv/duendepablo,yes,Spanish
2chamcham2,https://www.twitch.tv/2chamcham2,yes,Korean
bateson87,https://www.twitch.tv/bateson87,yes,English
emadgg,https://www.twitch.tv/emadgg,yes,English
tinowns,https://www.twitch.tv/tinowns,yes,Portuguese
litkillah,https://www.twitch.tv/litkillah,yes,Spanish
xkwhd,https://www.twitch.tv/xkwhd,yes,Korean
jahrein,https://www.twitch.tv/jahrein,yes,Turkish
lululuvely,https://www.twitch.tv/lululuvely,yes,English
jerma985,https://www.twitch.tv/jerma985,yes,English
alohadancetv,https://www.twitch.tv/alohadancetv,yes,Russian
asmodaitv,https://www.twitch.tv/asmodaitv,yes,English
nymn,https://www.twitch.tv/nymn,yes,English
gothamchess,https://www.twitch.tv/gothamchess,yes,English
yourragegaming,https://www.twitch.tv/yourragegaming,no,English
taliamar,https://www.twitch.tv/taliamar,yes,English
